site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena,Acaena big,Adesmia,Asteraceae open,Azorella lycopoideodes,Calceolarea,Empetrum,Epilobium,Erigeron,Festuca,Haplopappus,Lathyrus,Lotus,Luzula,moustache,Nasauvia soft,Nasuvia hairy,Nasuvia teeth,Oxalis,Perezia,Saxifrage red,Saxifrage yellow,Senecio falso,Thlapsi,Trisetum,moss,dataset code
"Torres del Paine","Azorella_monantha",75,"open",65,50,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",76,"open",25,25,,,,,,,,,,,,,,,,2,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",77,"open",20,20,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",78,"open",45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",79,"open",40,45,,,,,,,,,,,,,,,,,,,3,,,,,,,,64
"Torres del Paine","Azorella_monantha",80,"open",30,30,,,,,,,,,,,,,2,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",81,"open",45,45,,,,,,,,,,,,,,,,,,3,9,9,,,,,1,,64
"Torres del Paine","Azorella_monantha",82,"open",30,35,,,,,,,,,,,,,1,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",83,"open",30,30,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",84,"open",35,35,,,,,,,,,,,,,,,,,,,2,11,,,,,,,64
"Torres del Paine","Azorella_monantha",85,"open",40,45,,,,,,,,,,3,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",86,"open",15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",87,"open",35,35,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
